artist|song
60|Boys Like You {Ft. Gossling} 
360|Child
360|Falling & Flying
360|I'm OK
360|Killer
360|Meant To Do
360|Throw It Away {Ft. Josh Pyke}
[Me]|Naked
2 Bears, The|Work
2 Bears, The|Bear Hug
A.A. Bondy|The Heart Is Willing
Abbe May|Design Desire
Abbe May|Taurus Chorus
About Group|You're No Good
Active Child|Hanging On
Adalita|Burning Up {Like A Version}
Adalita|Hot Air
Adalita|The Repairer
Adrian Lux|Boy {Ft. Rebecca & Fiona}
Adults, The|Nothing To Lose
Afrojack & Steve Aoki|No Beef {Ft. Miss Palmer}
Agnes Obel|Riverside
Albert Salt|Fear & Loathing
Aleks And The Ramps|Middle Aged Unicorn On Beach With Sunset
Alex Burnett|Shivers {Straight To You: triple j's tribute To Nick Cave}
Alex Metric|End Of The World {Ft. Charli XCX}
Alex Metric & Steve Angello|Open Your Eyes
Alexander Ebert|Truth
Alpine|Hands
Alpine|Villages
Amaya Laucirica|No Excuses
An Horse|Dressed Sharply
An Horse|Not Mine
Andy Bull|Everybody Wants To Rule The World {Like A Version}
Andy Bull|Last Waltz {Ft. Hungry Kids Of Hungary}
Anna Calvi|Blackout
Anna Calvi|Desire
Anna Calvi|First We Kiss
Anna Calvi|I'll Be Your Man
Anna Calvi|Love Won't Be Leaving
Anna Calvi|No More Words
Anna Calvi|Suzanne And I
Anna Lunoe & Wax Motif|Love Ting
Antlers, The|I Don't Want Love
Architecture In Helsinki|Break My Stride {Like A Version}
Architecture In Helsinki|Contact High
Architecture In Helsinki|Denial Style
Architecture In Helsinki|Desert Island
Architecture In Helsinki|Escapee
Architecture In Helsinki|I Know Deep Down
Architecture In Helsinki|Sleep Talkin'
Architecture In Helsinki|W.O.W.
Architecture In Helsinki|Yr Go To
Arctic Monkeys|Black Treacle
Arctic Monkeys|Don't Sit Down Cause I've Moved Your Chair
Arctic Monkeys|Library Pictures
Arctic Monkeys|She's Thunderstorms
Arctic Monkeys|The Hellcat Spangled Shalalala
Argentina|Bad Kids
Art Brut|Lost Weekend
Art Vs Science|A.I.M. Fire!
Art Vs Science|Bumblebee
Art Vs Science|Harder, Better, Faster, Stronger {Like A Version}
Art Vs Science|Higher
Art Vs Science|Meteor (I Feel Fine)
Art Vs Science|New World Order
Art Vs Science|Rain Dance
Art Vs Science|Take A Look At Your Face
Art Vs Science|With Thoughts
Arts Martial|Runaway
Aston Shuffle, The|Start Again
Aston Shuffle, The|Won't Get Lost
Atlas Sound|Te Amo
Austra|Hate Crime
Austra|Lose It
Azari & III|Manic
Azealia Banks|212
Ball Park Music|All I Want Is You
Ball Park Music|It's Nice To Be Alive
Ball Park Music|Rich People Are Stupid
Bamboos, The|The Wilhelm Scream {Ft. Megan Washington}
Band Of Skulls|The Devil Takes Care Of His Own
Battles|Ice Cream {Ft. Matias Aguayo}
Bayside|Sick Sick Sick
Bear Hands|Crime Pays
Beards, The|Sex With A Bearded Man
Beards, The|Sharp Dressed Man {Like A Version}
Beastie Boys|Don't Play No Game That I Can't Win
Beastie Boys|Make Some Noise
Beastie Boys|Nonstop Disco Powerpack
Beastie Boys|OK
Beastie Boys|Say It
Beirut|East Harlem
Beirut|Santa Fe
Belles Will Ring|Street Lamp Stomp
Belligerents, The|Steal Money
Ben Folds|Get Sleazy {Like A Version}
Ben Folds Five|House
Ben Salter|The Coward
Beni|It's A Bubble
Beni|Someone Just Like You {Ft. Mattie Safer}
Beni|Last Night
Beni|Sway
Beni|High Off Your Love
Benny Benassi|Cinema {Skrillex Remix}
Best Coast|In Your Sleep {Ft. Johnny Marr}
Beth Ditto|I Wrote The Book
Betty Airs|Juvenile
Big Pink, The|Stay Gold
Big Pink, The|Hit The Ground (Superman)
Big Pink, The|Stay Gold
Big Scary|Bad Friends
Big Scary|Child In A Tree
Big Scary|Gladiator
Big Scary|Leaving Home
Big Scary|Mix Tape
Big Scary|Of Desire
Big Scary|Purple
Bitrok|Constellation Down {Ft. Johnny MacKay}
Bjork|Crystalline
Black Joe Lewis & The Honeybears|Booty City
Black Keys, The|Lonely Boy
Black Keys, The|Run Right Back
Black Lips|Family Tree
Black Lips|Modern Art
Blackout, The|Higher And Higher
Bleeding Knees Club|Teenage Girls
Blink-182|Up All Night
Bloody Beetroots, The|Church Of Noise {Ft. Dennis Lyxzen}
Bluejuice|Act Yr Age
Bluejuice|Can't Keep Up
Bluejuice|Cheap Trix
Bluejuice|Dressed For Success
Bluejuice|I'll Put You On
Bluejuice|On My Own
Bluejuice|Shock
Bluejuice|The Recession
Bluejuice|You Haven't Changed
Bombay Bicycle Club|Shuffle
Bon Iver|Calgary
Bon Iver|Hinnom, Tx
Bon Iver|Holocene
Bon Iver|Michicant
Bon Iver|Minnesota, Wi
Bon Iver|Perth
Bon Iver|Towers
Bonjah|Go Go Chaos
Bonjah|The White Line
Boom Bip|New Order {Ft. Luke Steele}
Boots Electric|Boots Electric Theme {Ft. Brody Dalle}
Boy & Bear|Big Man
Boy & Bear|Feeding Line
Boy & Bear|Golden Jubilee
Boy & Bear|House & Farm
Boy & Bear|Lordy May
Boy & Bear|Milk & Sticks
Boy & Bear|My Only One
Boy & Bear|Part Time Believer
Boy In A Box|Glitter, Gold, Ruin
Boy In A Box|The Longest Road
Bright Eyes|Shell Games
Bring Me The Horizon|Blessed With A Curse
British India|March Into The Ocean
Broken Bells|Windows
Brous|Streamers
Brow Horn Orchestra|Every Single Day
Buckley Ward|So Pretend
Bumblebeez|Summer Bum
Bungalows, The|Got To Go
Buraka Som Sistema|(We Stay) Up All Night
Burns & Fred Falke|Y.S.L.M. (You Stopped Loving Me)
Busby Marou|Biding My Time
Busby Marou|Girls Just Wanna Have Fun {Like A Version}
Busby Marou|Underlying Message
Cactus Channel, The|Pepper Snake
Cage The Elephant|Around My Head
Cage The Elephant|Shake Me Down
Cairos, The|Listening Party
Cairos, The|We All Buy Stars
Caitlin Park|Baby Teeth
Calling All Cars|Autobiotics
Calling All Cars|Dancing With A Dead Man
Calling All Cars|Fireworks In A Hurricane
Calling All Cars|No Sleep
Calling All Cars|Reptile
Calling All Cars|She's Delirious
Calling All Cars|Worlds Collide
Calvin Harris|Bounce
Calvin Harris|Feel So Close
Cameras|I Know
Cameras|June
CANT|Believe
Canyons|See Blind Through
Canyons|When I See You Again
Cashier No. 9|Goldstar
Cass McCombs|Robin Egg Blue {Gun Drum Remix}
Cassian|I Like What You're Doing
Catcall|Satellites
Chad Valley|Shell Suite
Chairlift|Amanaemonesia
Chairlift|Sidewalk Safari
Charles Bradley & The Menahan Street Band|Stay Away
Charlie Mayfair|Tell Her
Chase & Status|Blind Faith {Ft. Liam Bailey}
Chet Faker|Jeans & Wallet
Chicks With Guns|Run People
Chiddy Bang|Ray Charles
Citizens!|True Romance
City And Colour|Fragile Bird
City And Colour|Little Hell
City And Colour|Natural Disaster
City And Colour|O' Sister
City And Colour|Silver And Gold
City And Colour|The Grand Optimist
City And Colour|We Found Each Other In The Dark
City And Colour|Weightless
Clairy Browne & The Bangin' Rackettes|Love Letter
Clap Your Hands Say Yeah|Maniac
Clubfeet|Edge Of Extremes
Clubfeet|Last Words
Coach Bombay|Waterfall
Cold War Kids|Bulldozer
Cold War Kids|Finally Begin
Cold War Kids|Mine Is Yours
Cold War Kids|Out Of The Wilderness
Cold War Kids|Royal Blue
Cold War Kids|Sensitive Kid
Cold War Kids|Skip The Charades
Convaire|The New You
Cosmo Jarvis|Gay Pirates
Cosmo Jarvis|My Day
Cosmo Jarvis|Sure As Hell Not Jesus
Crystal Fighters|At Home
Crystal Fighters|Plage
Crystal Fighters|Champion Sound
Crystal Fighters|Plage
CSS|Hits Me Like A Rock {Ft. Bobby Gillespie}
Cub Scouts|Evie
Cults|Go Outside
Cut Copy|Alisa
Cut Copy|Blink And You'll Miss A Revolution
