artist|song|youtube_key
2 Bears, The|Bear Hug|y6YdAzmTNGQ
2 Bears, The|Warm  Easy|5b4yerCFFQE
2 Bears, The|Be Strong|0ljRayGVUiE
2 Bears, The|Work|NxI8QliBOKs
2 Bears, The|The Birds  The Bees|enupW8G0JIY
2 Bears, The|Ghosts  Zombies|8oH-Dc3xGoQ
2 Bears, The|Get Together|e-w5iGfFloQ
2 Bears, The|Church|fYOK2bukZwU
360|Run Alone|xLQSCAWdxDA
44th Sunset|Caesar|kt3745NRxpo&playnext=1&list=PLF03F08AC046BEF7F&feature=results_main
A-Trak|Disco Nap {ft. Oliver}|TtiGaXwi498
Abbe May|Karmageddon|bDJx-yLk3d0
Active Child|Sweet Dreams {Like A Version}|3kez2P1Bchs
Adrian Lux|Alive {ft. The Good Natured}|jZ0MQHDuNr8
Aesop Rock|Zero Dark Thirty|Dbd4h1kaFlY
Afrojack  Steve Aoki|No Beef {ft. Miss Palmer}|sdrUzRW7T6U
Ainslie Wills|Stop Pulling The String|_MnK8mxXFSs&playnext=1&list=PLoFQhSLYqchoeDVB0GesPPWmvrUAEeKkK&feature=results_main
Akido|Thirteen|FhIuEH3-IdE
Alabama Shakes|Hold On|tTeFlZE4OSI
Alabama Shakes|Hang Loose|4sSl11GMkMI
Alabama Shakes|I Found You|cnVSUH6_oBY
All That Glitters|This Sound|cw3Sy7ZWB7g
Allday x C1|So Good|gQEopMK4pjk
Alphabet Botanical|A New Feeling|AQy5sv6iOwQ
Alpine|Lovers 2|_jmfVd8umEI
Alpine|Softsides|F8j_jWFg7Lk
Alpine|Too Safe|jq1sP9hG_-s
Alpine|Gasoline|9wSGCp5vX14
Alpine|Seeing Red|hwegmZvUzIE
Alpine|All For One|EsPvNUIGngo
AlunaGeorge|Your Drums, Your Love|VfCSx5641U4
Amanda Palmer  The Grand Theft Orchestra|Do It With A Rockstar|GMgfRThylhU
Amity Afflcition, The|Open Letter|JCjaxyYCTjk
Amity Affliction, The|Chasing Ghosts|g2BI3Fww1vA
Angus Stone|It Was Blue|DGPQvx0UDJE
Angus Stone|Wooden Chair|DqDT7mZVEq8
Angus Stone|Hold On {Like A Version}|v5NJrgeO99M
Angus Stone|River Love|oXNtpoktAiA
Angus Stone|Monsters|LeT9N-0u4sc
Angus Stone|Broken Brights|s0gJPPDa1ro
Angus Stone|Bird On The Buffalo|Yple4rnO8B8
Angus Stone|Be What You Be|J1J9yyjGHpE
Angus Stone|The Blue Door|SvQgvZZj8VI
Animal Collective|Today's Supernatural|f6cWumQwCqA
Anna Lunoe  Flume|I Met You|KxJdMhfn9g4
Antlers, The|Endless Ladder|9h0wByrIl84
Apes|Seven|Zgt-2xyMrQ4
Arctic Monkeys|R U Mine?|VQH8ZTgna3Q
Ariel Pink's Haunted Graffitti|Only In My Dreams|Ta46M5rksBk
Art Of Sleeping|Empty Hands|b2-8Ll-itjs
Art Of Sleeping|Above The Water|uNWpR96Oi_0
Arts Martial|Running|XO9jpzaCcog
Ash Grunwald|Longtime|n2jI1xlzjCo
Ash Grunwald|Trouble's Door|xBqPiyP1aJw
Ash Grunwald|Shake That Thing|76cT2YrToik
Asta|Escape|pWUVImj_k8A
Asta|My Heart Is On Fire|QGX_ddX3aGU
Aston Shuffle, The|Can't Stop Now|T45W_zdJwwo
Atoms For Peace|Default|yxWBd840E9g
Austra|None Of Dem {Like A Version}|df0twE7OXJ4
Avaberee|Lover Of Mine|ckXQJWbyxwQ
Avicii|Silhouettes|6VJBBUqr1wM
Azealia Banks|1991|0oM_9ca8hxE
Azealia Banks|Jumanji|ONbScy7TUMo
Bad Dreems|Chills|-5tszSkc3Zw
Bad Religion|Fuck You|xF0Mia7oYvA
Ball Park Music|Pot Of Gold|QrYrik0ZzYw
Ball Park Music|Bad Taste Blues, Pt. 2|Tc8ohxJe910
Ball Park Music|Surrender|1rPgQ6B6CAE
Ball Park Music|High Court|KWbfna1oeVM
Ball Park Music|Great Display Of Patience|AsUvYVuWfDg
Ball Park Music|Cost Of Lifestyle|i76uLeK4BnU
Ball Park Music|Coming Down|4wtv_k1StW4
Ball Park Music|Fence Sitter|5bgpB3dVuWY
Ball Park Music|Bad Taste Blues, Pt. 1|jgllicqoqP8
Bamboos, The|Eliza {ft. Megan Washington}|r9P2cAsS9gM
Bamboos, The|I Got Burned {ft. Tim Rogers}|hZEN_l4j6mY
Bamboos, The|I Never {ft. Daniel Merriweather}|_4G96KbQ4SI
Bamboos, The|Midnight {ft. Bobby Flynn}|3bBc3RK_Kd8
Bamboos, The|Where Does Time Go {ft. Aloe Blacc}|1Zeqs6aQwFs
Band Of Horses|Knock Knock|Sh8OTO4wSMs
Band Of Skulls|Wanderluster|xB0-BOiFhu8
Band Of Skulls|Sweet Sour|EXCBKMOF7OI
Band Of Skulls|Bruises|bBgSw4GstGs
Band Of Skulls|Lies|2DQoVPR7bSY
Band Of Skulls|Navigate|YNs3heMkdAM
Band Of Skulls|You're Not Pretty But You Got It Goin' On|XS4aiS-2NlI
Baroness|Take My Bones Away|PZKPpeuHvJk
Bat For Lashes|All Your Gold|EXK0Ejzin4c
Bat For Lashes|Laura|UznHTBZIa8E
Battleships|Your Words|b3qU1aJwe58
Battleships|Coming Back To You|gAHiYt_dpAU
Battleships|In Retrospect|7Tz9PE439u0
Beach House|Lazuli|V7Gh82iHvPw
Beach House|Wishes|hyDD-LhpgBc
Beach House|The Hours|oHjxwHwSRN4
Beach House|Wild|aRSDzmAy-X8
Beach House|Troublemaker|gQ0gjytxJ6g
Beach House|Myth|Bv7IcjmxjGo
Beach House|Other People|7SyZZi0D18M
Beards, The|Got Me A Beard|KlgbKIswpzI
Bearhug|Angeline|rk9WOTwtUO8
Bearhug|Over The Hill|6kFopAC0T74
Belligerents, The|Steal Money|szMSFtgbbbA
Ben Folds Five|Do It Anyway|G8cRr9tX-Sc
Ben Folds Five|Draw A Crowd|Wc1uDRJTvf0
Ben Kweller|Mean To Me|9KEYB0Y_-hc
Bento|Diamond Days|5H96wLcGXwg
Bertie Blackman|Growl Howl|x38f2qsiBJc
Bertie Blackman|Mercy Killer|MLZ-NOLBwpY
Bertie Blackman|Hide And Seek|k6BWqGu4R-I
Bertie Blackman|Stella|K8eykh4aL24
Bertie Blackman|Mistakes|zritoYbWXQo
Bertie Blackman|Boy|zritoYbWXQo
Best Coast|The Only Place|AJW00gx4wvE
Big Boi|Lines {ft. A$AP Rocky  Phantogram}|kQ6g_EhEJFI
Billy Talent|Surprise Surprise|dzqYAnViAwM
Birds Of Tokyo|This Fire|IIH9gEeOy1c
Black Keys, The|Little Black Submarines|6k8es2BNloE
Black Keys, The|Gold On The Ceiling|6yCIDkFI7ew
Black Keys, The|Dead And Gone|on5kklX2fR8
Black Keys, The  RZA|The Baddest Man Alive|OJ8Gtx45Fmc
Blackchords|Dance Dance Dance|T6FYuel-Fzs
Bleeding Knees Club|Nothing To Do|kkhrgEY_Psk
Bleeding Knees Club|Girls Can Do Anything|ulWahmubZYg
Bleeding Knees Club|Beach Slut|ZKcygy4Z8II
Bleeding Knees Club|Problem Child|IC6a1NBkFF4
Bloc Party|Octopus|TkeUFRK4i7w
Bloc Party|Day Four|k1URjfe-aGI
Bloc Party|Real Talk|xhBbVitI0Tk
Bloc Party|Truth|tcaIC0W3HvM
Bloc Party|Team A|4I1spOZ_ihM
Bloc Party|Coliseum|HWTFHcT4zwo
Bloc Party|V.A.L.I.S.|HxD1NhZBlEA
Bloc Party|3x3|juPagD7APQ8
Blood Red Shoes|Cold|g-yxwXIrQ-E
Bloods|This Town|9PZb6x1KJl4
Bloody Beetroots, The|Rocksteady|KSqttO3NtCg
Bloody Beetroots, The  Greta Svabo Bech|Chronicles Of A Fallen Love|eW0AuyCTBkU
Bluejuice|Video Games {Like A Version}|InM2OoaUofQ
Blur|Under The Westway|c1Uw1uD6lXs
Blur|The Puritan|EuDUImvxm7Q
Bob Evans|Don't Wanna Grow Up Anymore|e34xd8PGM_s
Bombay Bicycle Club|Leave It|4O_Opkjqav0
Bombay Bicycle Club|How Can You Swallow So Much Sleep|MgvBmEmtF-I
Bombay Bicycle Club|Beg|6TYpvtMWQKU
Bombay Bicycle Club|Lights Out, Words Gone|vglxk3JbHnQ
Bon Iver|Coming Down {Like A Version}|SX48_a8TTD0
Booka Shade|Tomorrow Belongs To Us|HUm7zMSuFGQ
Bored Nothing|Popcorn|zf4lz6zCSjk
Bored Nothing|Only Old|S9JulL4t8cw
Bored Nothing|Shit For Brains|iqZgbOJzAPE
Boy  Bear|Walking On A Dream {Like A Version}|H2a3H51xKUc
Boys Noize|What You Want|OxJy92awED0
Breakbot|By Your Side|DfCfFWo9-3c
Briggs|Rather Be Dead|wfvEjQVTMU8
British India|I Can Make You Love Me|UXOAwbazzKQ
Bronx, The|Ribcage|RS8slHcV2T8
Buchanan|Run Faster|Y53zoaFWi64
Burial|Kindred|wC16FJTI6XM
C2C|Down The Road|Vw456BBagFM
Cairos, The|Shame|KPMNo2M3y2I
Calvin Harris|Sweet Nothing {ft. Florence Welch}|17ozSeGw-fY
Cashmere Cat|Mirror Maru|i1r9X7XDKUM
Cassian|On  On|ekc3nUYCcwk
Cast Of Cheers, The|Family|sn_UJR3ZRkA
Cast Of Cheers, The|Human Elevator|Eqb7Te-KWEg
Cast Of Cheers, The|Trucks At Night|bWEMNEgXurk
Cast Of Cheers, The|Animals|oMxAEn3Owlg
Cat Power|Ruin|_nl3Oo4-IQ4
Cat Power|Nothing But Time|LXQKRxhf4s8
Cat Power|Cherokee|PQ5xTtxLYas
Cat Power|3,6,9|bLEP_E4JoD8
Cat Power|Manhattan|xbGv2TuT29E
Catcall|The World Is Ours|DEpelcXLmdg
Chairlift|I Belong In Your Arms|6RRc0T3l1Co
Chairlift|Take It Out On Me|2Og23DtOseE
Chairlift|Ghost Tonight|LBK56_-AjX0
Chairlift|Frigid Spring|3n1NS7rxfnk
Chairlift|Met Before|atKuhrPnLq8
Chairlift|Wrong Opinion|VioXu6lnP6c
Chance Waters|Young  Dumb {ft. Bertie Blackman}|oIDJFwse-aI
