artist|song|youtube_key|spotify_key
#1 Dads|Camberwell|HFD6_zS5tK0|
#1 Dads|For Randy Robinson And Cassidy|3I0Ui7W_7h4|
#1 Dads|Nominal|cLdrrOcAb1U|
#1 Dads|Return To {Ft. Tom Snowdon}|stpoHEkNoLA|
#1 Dads|So Soldier {Ft. Ainslie Wills}|nkVz4vjO1Hk|
360|Live It Up {Ft. Pez}|O9ZmEA7UJX8|
360|Impossible {ft. Daniel Johns}|xU78NDpJt08|
360|Price Of Fame {Ft. Gossling}|6law9jM11sA|
5THS|Sell It To Me {Ft. Jarryd Klapper}|LyRhJPcxFtg|
@peace|Where I Come From||
@peace|Stranger||
A Sunny Day In Glasgow|Crushin'|P6NFcPTeEp8|
A$AP Mob|Xscape {Ft. A$AP Twelvyy}|cOq_YsH9FHM|
A$AP Mob|Trillmatic {Ft. A$AP Nast/Method Man}|8xda8NvdEfA|
A$AP Rocky|In Distress {Ft. Gesaffelstein}|WGV48Ukt5LA|
A$AP Rocky|Multiply {Ft. Juicy J}|5v6JUzxWoGw|
ANTEMASQUE|4AM|rE8Qe40PLPM|
ANTEMASQUE|In The Lurch|mkd_CWhV_sE|
Ab-Soul|Tree Of Life|bD3ro107KsM|
Aborted|Necrotic Manifesto|pFIDFsfa3F4|
Aborted|The Extirpation Agenda|UFQwMxVIwWM|
Acid, The|Fame|0QHK3Z419F4|
Acid, The|Basic Instinct|kOucrAFX810|
Action Bronson|Easy Rider|58RSC7HO9aU|
Actress|Image|XZUEg_cyOA0|
Actress|Our|RZb98Edpm6o|
Against Me!|Transgender Dysphoria Blues|dq_va3wNfFo|
Ages And Ages|Divisionary|-BAU9mKJjdU|
Airling|Wasted Pilots|YtLAqzxFniw|
Airling|Ouroboros|mQfahhJXgbY|
Airling|The Runner|hVKnAtowoIE|
Akouo|Last Time|4Dyf1sx3Ryk|
Albert Salt|Riddles Come Undone|Q-mSyo_K67Y|
Aldous Harding|Beast|1qVrUnrEDug|
Alex Cameron|Mongrel||
Alex G|After Ur Gone|EN6EIIR5K0A|
Alex Metric|Hope|AObbki29gpo|
Alex Metric|Heart Weighs A Ton {Ft. Stefan Storm}|2acf9hDmb5Y|
Alex Turner|Feels Like We Only Go Backwards {Like A Version 2014}|4RZDFQ3oYbg|
Alexis Taylor|Without A Crutch|a2thkRt94lU|
Ali Barter|Community|qiIjP0A9ipk|
Ali E|We Are Strangers||
Alison Wonderland|I Want U|YLCm9lP-3Uk|
Alison Wonderland|Cold|Et4Ns2ADrmw|
Alison Wonderland|Lies|cOvtAtS1X8k|
All The Colours|Fragile|UYUBVX0xMbM|
All We Are|Feel Safe|-pWm4TDrM8A|
All We Are|I Wear You|ufADbnDKdLw|
Allday|Never Tear Us Apart {Like A Version 2014}|CmQiM8MQYEI|
Allday|You Always Know The DJ|YAMEls7RYoc|
Allday|Right Now|P0PY9KW-P60|
Alvvays|Adult Diversion|rZHPCcFmEjc|
Alyx Dennison|I Don't Love You Anymore|93jV0XhWN-M|
Amateur Dance|Advocate For Love||
Amateur Dance|Talking About Yourself||
Amaya Laucirica|Prettier Than The Sound||
Amazing Snakeheads, The|Here It Comes Again|m8ONa0WJtgw|
Amity Affliction, The|Don't Lean On Me|C4URaV1i14A|
Amity Affliction, The|F.M.L.|vQWwH04zdjQ|
Amity Affliction, The|Death's Hand|t5MhwqwYpVA|
Amity Affliction, The|Lost & Fading||
Amity Affliction, The|The Weigh Down|rWTF17JwGSY|
Amity Affliction, The|Give It All|gLhDKKw421E|
Amity Affliction, The|Pittsburgh|vu3xGr-lNVI|
Anberlin|Hearing Voices|d7gvoHbmzUk|
Andras & Oscar|Everytime I Go|EvIExXcg4RE|
Andras & Oscar|Looking Back|_r4WXRJr-yY|
Andy Bull|Nothing Is Wrong|1xlFSto6UoQ|
Andy Bull|Talk Too Much|7sqR15lBVkE|
Andy Bull|The Hill|2-lVXvk77sU|
Angel Olsen|White Fire|eKIzxQftnx8|
Angel Olsen|Hi-Five|oL_3Y4zNnqg|
Angus & Julia Stone|Death Defying Acts|N6TNrXRUo4Q|
Angus & Julia Stone|A Heartbreak|nV50lmpVk1E|
Angus & Julia Stone|My Word For It|QkOb0aokSMU|
Angus & Julia Stone|Get Home|OVta4neHtVg|
Angus & Julia Stone|From The Stalls|7K3_J6od2Io|
Angus & Julia Stone|Heart Beats Slow|WTsinsfY6dk|
Angus & Julia Stone|Grizzly Bear|JHhV9TPNmTI|
Angus & Julia Stone|Little Whiskey|t9dqZplBPhU|
Angus & Julia Stone|Main Street|vYSAOdWkYs0|
Angus & Julia Stone|Wherever You Are|wdIVP0ZjBv4|
Angus Dawson|A Curse In Disguise|fn1UJ-BVGBk|
Anna Lunoe|All Out|GIoftXmHRSw|
Anna Lunoe|Bass Drum Dealer (B.D.D)|zmrfyDa6ea0|
Anna Lunoe|Heartbreak In Motion {Ft. Jesse Boykins III}|mgMi7Nl9G7Q|
Antlers, The|Intruders|y_irsJdp30Y|
Apart From This|Spinning|N6_CJubqFmw|
Apes|Strange Tastes||
Apes|Pull The Trigger|yOiWA8MTAFg|
Aphex Twin|produk 29|5hKOjaH1rHg|
Aphex Twin|4 bit 9d api+e+6|8TwgylEGBPc|
Aphex Twin|minipops 67 [120.2] (source field mix)|RUAJ8KLGqis|
Arca|Thievery|XQXKelbB9wk|
Archie Bronson Outfit|We Are Floating|XBpcybgAJRA|
Architects|Broken Cross|V_kjf2J7Als|
Architecture In Helsinki|I Might Survive|aWMJkvjWqx4|
Ariel Pink|Put Your Number In My Phone|TYoQ6WLuMq4|
Armin Van Buuren|Ping Pong|Z8V5GfFeUDs|
Art Of Sleeping|Crazy|BUclAcSlKxI|
Art vs Science|Creature Of The Night|5Nz0CsYQhFw|
Art vs Science|Create/Destroy|OBKuEItvJGs|
Asgeir|Higher|SmTlfbWR5h8|
Asgeir|King And Cross|D-dHIkF_lO4|
Asgeir|In The Silence|/playlist?list=PLKjlmpYLY5OZRArGgngqKd61F1TN1TMhy|
Asgeir|Going Home|PJAfOODx7KU|
Asgeir|Torrent|gZd-L1-Hi-4|
Asgeir|Stolen Dance {Like A Version 2014}|SW7Gf20T4eM|
Aston Shuffle, The|Back & Forth {Ft. Elizabeth Rose}||
Aston Shuffle, The|No Place Like Home {Ft. Kaelyn Behr}|hCEmvs1rR08|
Astronomy Class|Four Barang In A Tuk-Tuk|PKvA3AN3ApY|
At The Gates|At War With Reality|aoJYZITMZAI|
Atmosphere|The World Might Not Live Through The Night|ul8gKMZWVe0|
Attaque|Change Your Mind|i1yASokU590|
Augie March|A Dog Starved|DCE0zKxgyKI|
Augie March|Definitive History|PXED2xHu3OQ|
Augie March|After The Crack Up|1qrwkM-wT_g|
Augie March|Villa Adriana||
Ausmuteants|Freedom Of Information|PdbiWzaoZv4|
Austra|Habitat|3FgXIjWFTks|
Avener, The|Fade Out Lines|6CJrUJVtV-E|
Avey Tare's Slasher Flicks|Little Fang|JBvS-2KEOic|
Avi Buffalo|Memories Of You|chi2jMLmCrg|
Ayla|Wish I Was|13sSK8mk-aU|
Azealia Banks|Chasing Time|jtTjzDTpx8o|
Azura|Smoke|rMVT-UUYT4g|
Azura|Nineteen||
BADBADNOTGOOD|Triangle|xT1EKlrFH8c|
BADBADNOTGOOD|Can't Leave The Night|caY0MEok19I|
BASECAMP|Emmanuel|eKRTIPIIsws|
BORNS|10,000 Emerald Pools|LDTYp4a_eWM|
Baauer|One Touch {Ft. AlunaGeorge & Rae Sremmurd}|tITYj52gXxU|
Baauer|Clang|2_59AD5bWNI|
Baauer & Boys Noize|Fire Like This|sQ_tdwi81ho|
Babaganouj|Too Late For Love|aHbQHTqZyao|
Babaganouj|Bluff|B3PulKRypxY|
Babe Rainbow, The|Planet Junior|Z2cWtr7Z-H0|
Babe Rainbow, The|Secret Enchanted Broccoli Forest|lh2qHxUDt6o|
Babe Rainbow, The|Evolution 1964|H3JfVwXr5w4|
Bacchanales, The|Why It Stopped Raining?|kujA1YOTh9Y|
