artist|song|youtube_key|spotify_key|jjj_preview
!!!|Freedom! '15|EVrTO0JP92U||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/90d44ebd391480d937695f6463be4b4c.mp3
#1 Dads|Two Weeks {triple j Like A Version}|1mXi8ehnp0Y||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/951234116dbeaeddbe08e13ca53e58db.mp3
'96 Bulls|Future|UY_tkWbX_0U||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/fb8e0342206b4f6afb28df66cb416242.mp3
A Night In Texas|The God Delusion|L7GG7dFaSWQ||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/55aac4e5f278c8eebe0a7cfc293dc9c1.mp3
A Place To Bury Strangers|We've Come So Far|sI3Q9yNPXq4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/fefc4d356b2415e62a90ba58822f9b8d.mp3
A Sol Mechanic|Tight Leash|fbNd9kMFrWU||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/f5f3bc30ccd4213673cd32004cdc7325.mp3
A Tribe Called Quest|Bonita Applebum (Pharrell Wiiliams Remix)|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/c202281149dd9ce903fc26e8b1b3c948.mp3
A$AP Ferg|Dope Walk|JYH1rI_SwKs||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/598193f7a7b1be244c91c67facde6a7f.mp3
A$AP Rocky|Everyday {Ft. Rod Stewart/Miguel/Mark Ronson}|UtZBA1bVbcs||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/30f5fc836d898c086435d45158a4be30.mp3
A$AP Rocky|Excuse Me|8WyWsW43tcg||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/66c13826e3b1db15a3fa24affa005292.mp3
A$AP Rocky|Holy Ghost {Ft. Joe Fox}|OCGw4RfUdoo||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/3a12093465869bd417771af446c485f7.mp3
A$AP Rocky|Jukebox Joints {Ft. Joe Fox & Kanye West}|lNq2ZN2IpoA||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/5795336dfa51b842ac9ee4b0b24505c1.mp3
A$AP Rocky|L$D|yEG2VTHS9yg||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/8f51804fac5f1cd0157ee46be79f30f8.mp3
A$AP Rocky|Pharsyde {Ft. Joe Fox}|og5t3pla0bg||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/fdc78eb08ab3d0b859a09eb45a94963b.mp3
